timestamp_us,adc_raw,voltage_V,field_mT
135834963,1968,1.586,3.410
135844530,1965,1.584,3.498
135854530,1993,1.606,2.680
135864530,1975,1.592,3.205
135874530,1967,1.585,3.439
135884530,1968,1.586,3.410
135894530,1954,1.575,3.819
135904530,1969,1.587,3.381
135914530,1959,1.579,3.673
135924530,1949,1.571,3.965
135934530,1958,1.578,3.702
135944530,1953,1.574,3.848
135954530,1966,1.584,3.468
135964530,1964,1.583,3.527
135974530,1967,1.585,3.439
135984530,1977,1.593,3.147
135994530,1953,1.574,3.848
136004530,2079,1.675,0.167
136014530,1993,1.606,2.680
136024530,1958,1.578,3.702
136034530,1971,1.588,3.322
136044530,1975,1.592,3.205
136054530,1970,1.588,3.351
136064530,1974,1.591,3.235
136074530,1968,1.586,3.410
136084530,1952,1.573,3.877
136094530,1953,1.574,3.848
136104530,1937,1.561,4.315
136114530,1967,1.585,3.439
136124530,1978,1.594,3.118
136134530,1973,1.590,3.264
136144530,1978,1.594,3.118
136154530,1977,1.593,3.147
136164530,1969,1.587,3.381
136174530,1972,1.589,3.293
136184530,1962,1.581,3.585
136194530,1953,1.574,3.848
136204530,1981,1.596,3.030
136214530,1959,1.579,3.673
136224530,1962,1.581,3.585
136234530,1968,1.586,3.410
136244530,1965,1.584,3.498
136254530,1965,1.584,3.498
136264530,1957,1.577,3.731
136274530,1965,1.584,3.498
136284530,1959,1.579,3.673
136294530,1974,1.591,3.235
136304530,1949,1.571,3.965
136314530,1957,1.577,3.731
136324530,1977,1.593,3.147
136334530,1933,1.558,4.432
136344530,1946,1.568,4.053
136354530,1971,1.588,3.322
136364530,1966,1.584,3.468
136374530,1968,1.586,3.410
136384530,1955,1.575,3.790
136394530,1956,1.576,3.760
136404530,1968,1.586,3.410
136414530,1974,1.591,3.235
136424530,1935,1.559,4.374
136434530,1962,1.581,3.585
136444530,1965,1.584,3.498
136454530,1975,1.592,3.205
136464530,1954,1.575,3.819
136474530,1959,1.579,3.673
136484530,1949,1.571,3.965
136494530,1969,1.587,3.381
136504530,1957,1.577,3.731
136514530,1987,1.601,2.855
136524530,1970,1.588,3.351
136534530,1958,1.578,3.702
136544530,1970,1.588,3.351
136554530,1982,1.597,3.001
136564530,1883,1.517,5.893
136574530,1872,1.509,6.214
136584530,1872,1.509,6.214
136594530,1874,1.510,6.156
136604530,1899,1.530,5.426
136614530,1872,1.509,6.214
136624530,1872,1.509,6.214
136634530,1873,1.509,6.185
136644530,1894,1.526,5.572
136654530,1872,1.509,6.214
136664530,1872,1.509,6.214
136674530,1870,1.507,6.273
136684530,1872,1.509,6.214
136694530,1884,1.518,5.864
136704530,1876,1.512,6.097
136714530,1890,1.523,5.688
136724530,1888,1.521,5.747
136734530,1876,1.512,6.097
136744530,1891,1.524,5.659
136754530,1887,1.521,5.776
136764530,1872,1.509,6.214
136774530,1867,1.505,6.360
136784530,1862,1.501,6.506
136794530,1888,1.521,5.747
136804530,1866,1.504,6.390
136814530,1878,1.513,6.039
136824530,1882,1.517,5.922
137066957,1904,1.534,5.279
137076530,1870,1.507,6.273
137086530,1885,1.519,5.835
137096530,1875,1.511,6.127
137106530,1869,1.506,6.302
137116530,1871,1.508,6.243
137126530,1870,1.507,6.273
137136530,1911,1.540,5.075
137146530,1875,1.511,6.127
137156530,1909,1.538,5.133
137166530,1862,1.501,6.506
137176530,1834,1.478,7.324
137186530,1866,1.504,6.390
137196530,1872,1.509,6.214
137206530,1845,1.487,7.003
137216530,1867,1.505,6.360
137226530,1849,1.490,6.886
137236530,1885,1.519,5.835
137246530,1847,1.488,6.945
137256530,1872,1.509,6.214
137266530,1867,1.505,6.360
137276530,1891,1.524,5.659
137286530,1943,1.566,4.140
137296530,1859,1.498,6.594
137306530,1936,1.560,4.345
137316530,1885,1.519,5.835
137326530,1840,1.483,7.149
