timestamp_us,adc_raw,voltage_V,field_mT
3188820110,1982,1.597,3.001
3188829529,1936,1.560,4.345
3188839529,1968,1.586,3.410
3188849529,1965,1.584,3.498
3188859529,1963,1.582,3.556
3188869529,1972,1.589,3.293
3188879529,1968,1.586,3.410
3188889529,1948,1.570,3.994
3188899529,1981,1.596,3.030
3188909529,1962,1.581,3.585
3188919529,1962,1.581,3.585
3188929529,1939,1.563,4.257
3188939529,1941,1.564,4.199
3188949529,1959,1.579,3.673
3188959529,1983,1.598,2.972
3188969529,1867,1.505,6.360
3188979529,1875,1.511,6.127
3188989529,1870,1.507,6.273
3188999529,1840,1.483,7.149
3189009529,1907,1.537,5.192
3189019529,1872,1.509,6.214
3189029529,1856,1.496,6.682
3189039529,1843,1.485,7.061
3189049529,1872,1.509,6.214
3189059529,1877,1.513,6.068
3189069529,1858,1.497,6.623
3189079529,1874,1.510,6.156
3189089529,1869,1.506,6.302
3189099529,1859,1.498,6.594
3189109529,1939,1.563,4.257
3189119529,1869,1.506,6.302
3189129529,1854,1.494,6.740
3189139529,1869,1.506,6.302
3189149529,1808,1.457,8.084
3189159529,1808,1.457,8.084
3189169529,1833,1.477,7.354
3189179529,1867,1.505,6.360
3189189529,1872,1.509,6.214
3189199529,1869,1.506,6.302
3189209529,1859,1.498,6.594
3189219529,1862,1.501,6.506
3189229529,1854,1.494,6.740
3189239529,1872,1.509,6.214
3189249529,1869,1.506,6.302
3189259529,1877,1.513,6.068
3189269529,1863,1.501,6.477
3189279529,1834,1.478,7.324
3189289529,1866,1.504,6.390
3189299529,1877,1.513,6.068
3189309529,1847,1.488,6.945
3189319529,1873,1.509,6.185
3189329529,1873,1.509,6.185
3189339529,1875,1.511,6.127
3189349529,1843,1.485,7.061
3189359529,1858,1.497,6.623
3189369529,1879,1.514,6.010
3189379529,1855,1.495,6.711
3189389529,1868,1.505,6.331
3189399529,1879,1.514,6.010
3189409529,1882,1.517,5.922
3189419529,1877,1.513,6.068
3189429529,1853,1.493,6.769
3189439529,1869,1.506,6.302
3189449529,1858,1.497,6.623
3189459529,1915,1.543,4.958
3189469529,1868,1.505,6.331
3189479529,1877,1.513,6.068
3189489529,1885,1.519,5.835
3189499529,1881,1.516,5.951
3189509529,1857,1.496,6.652
3189519529,1854,1.494,6.740
3189529529,1868,1.505,6.331
3189539529,1907,1.537,5.192
3189549529,1865,1.503,6.419
3189559529,1882,1.517,5.922
3189569529,1856,1.496,6.682
3189579529,1851,1.492,6.828
3189589529,1867,1.505,6.360
3189599529,1883,1.517,5.893
3189609529,1860,1.499,6.565
3189619529,1901,1.532,5.367
3189629529,1870,1.507,6.273
3189639529,1872,1.509,6.214
3189649529,1853,1.493,6.769
3189659529,1855,1.495,6.711
3189669529,1861,1.500,6.536
3189679529,1844,1.486,7.032
3189689529,1847,1.488,6.945
3189699529,1885,1.519,5.835
3189709529,1858,1.497,6.623
3189719529,1859,1.498,6.594
3189729529,1862,1.501,6.506
3189739529,1888,1.521,5.747
3189749529,1867,1.505,6.360
3189759529,1872,1.509,6.214
3189769529,1877,1.513,6.068
3189779529,1910,1.539,5.104
3189789529,1844,1.486,7.032
3189799529,1859,1.498,6.594
3189809529,1967,1.585,3.439
3190062113,1856,1.496,6.682
3190071529,1851,1.492,6.828
3190081529,1863,1.501,6.477
3190091529,1862,1.501,6.506
3190101529,1809,1.458,8.055
3190111529,1863,1.501,6.477
3190121529,1866,1.504,6.390
3190131529,1904,1.534,5.279
3190141529,1871,1.508,6.243
3190151529,1887,1.521,5.776
3190161529,1856,1.496,6.682
3190171529,1846,1.488,6.974
3190181529,1839,1.482,7.178
3190191529,1871,1.508,6.243
3190201529,1872,1.509,6.214
3190211529,1873,1.509,6.185
3190221529,1843,1.485,7.061
3190231529,1871,1.508,6.243
3190241529,1861,1.500,6.536
3190251529,1871,1.508,6.243
3190261529,1873,1.509,6.185
3190271529,1843,1.485,7.061
3190281529,1851,1.492,6.828
3190291529,1808,1.457,8.084
3190301529,1872,1.509,6.214
3190311529,1850,1.491,6.857
3190321529,1869,1.506,6.302
3190331529,1858,1.497,6.623
3190341529,1889,1.522,5.718
3190351529,1843,1.485,7.061
3190361529,1867,1.505,6.360
3190371529,1893,1.525,5.601
3190381529,1865,1.503,6.419
3190391529,1872,1.509,6.214
3190401529,1822,1.468,7.675
3190411529,1871,1.508,6.243
3190421529,1857,1.496,6.652
3190431529,1862,1.501,6.506
3190441529,1829,1.474,7.470
3190451529,1866,1.504,6.390
3190461529,1899,1.530,5.426
3190471529,1863,1.501,6.477
3190481529,1877,1.513,6.068
3190491529,1904,1.534,5.279
3190501529,1665,1.342,12.261
