timestamp_us,adc_raw,voltage_V,field_mT
1796525,1849,1.490,6.886
1806525,1829,1.474,7.470
1816525,1869,1.506,6.302
1826525,1901,1.532,5.367
1836525,1840,1.483,7.149
1846525,1882,1.517,5.922
1856525,1840,1.483,7.149
1866525,1856,1.496,6.682
1876525,1859,1.498,6.594
1886525,1856,1.496,6.682
1896525,2071,1.669,0.401
1906525,1867,1.505,6.360
1916525,1855,1.495,6.711
1926525,1865,1.503,6.419
1936525,1881,1.516,5.951
1946525,1867,1.505,6.360
1956525,1853,1.493,6.769
1966525,1831,1.476,7.412
1976525,1856,1.496,6.682
1986525,1882,1.517,5.922
1996525,1852,1.492,6.799
2006525,1863,1.501,6.477
2016525,1875,1.511,6.127
2026525,1879,1.514,6.010
2036525,1860,1.499,6.565
2046525,1866,1.504,6.390
2056525,1870,1.507,6.273
2066525,1893,1.525,5.601
2076525,1782,1.436,8.843
2086525,1877,1.513,6.068
2096525,1846,1.488,6.974
2106525,1878,1.513,6.039
2116525,1877,1.513,6.068
2126525,1863,1.501,6.477
2136525,1852,1.492,6.799
2146525,1872,1.509,6.214
2156525,1866,1.504,6.390
2166525,1863,1.501,6.477
2176525,1865,1.503,6.419
2186525,1869,1.506,6.302
2196525,1875,1.511,6.127
2206525,1876,1.512,6.097
2216525,1872,1.509,6.214
2226525,1883,1.517,5.893
2236525,1848,1.489,6.915
2246525,1875,1.511,6.127
2256525,1879,1.514,6.010
2266525,1866,1.504,6.390
2276525,1905,1.535,5.250
2286525,1867,1.505,6.360
2296525,1859,1.498,6.594
2306525,1872,1.509,6.214
2316525,1874,1.510,6.156
2326525,1844,1.486,7.032
2336525,1873,1.509,6.185
2346525,1830,1.475,7.441
2356525,1869,1.506,6.302
2366525,1919,1.546,4.841
2376525,1823,1.469,7.646
2386525,1847,1.488,6.945
2396525,1863,1.501,6.477
2406525,1872,1.509,6.214
2416525,1865,1.503,6.419
2426525,1846,1.488,6.974
2436525,1863,1.501,6.477
2446525,1839,1.482,7.178
2456525,1903,1.534,5.309
2466525,1870,1.507,6.273
2476525,1869,1.506,6.302
2486525,1845,1.487,7.003
2496525,1851,1.492,6.828
2506525,1891,1.524,5.659
2516525,1865,1.503,6.419
2526525,1873,1.509,6.185
2536525,1850,1.491,6.857
2546525,1867,1.505,6.360
2556525,1869,1.506,6.302
2566525,1866,1.504,6.390
2576525,1897,1.529,5.484
2586525,1862,1.501,6.506
2596525,1808,1.457,8.084
2606525,1856,1.496,6.682
2616525,1837,1.480,7.237
2626525,1817,1.464,7.821
2636525,1859,1.498,6.594
2646525,1858,1.497,6.623
2656525,1837,1.480,7.237
2666525,1918,1.546,4.871
2676525,1862,1.501,6.506
2686525,1873,1.509,6.185
