timestamp_us;;;
4519239;1859;1.498;65.94
4525226;1866;1.504;63.90
4531217;1837;1.480;72.37
4537208;1863;1.501;64.77
4543196;1877;1.513;60.68
4549187;1867;1.505;63.60
4555178;1854;1.494;67.40
4561166;1858;1.497;66.23
4567154;1841;1.484;71.20
4573146;1858;1.497;66.23
4579134;1871;1.508;62.43
4585125;1882;1.517;59.22
4591116;1847;1.488;69.45
4597107;1839;1.482;71.78
4603099;1847;1.488;69.45
4609091;1861;1.500;65.36
4615083;1856;1.496;66.82
4621074;1821;1.467;77.04
4627062;1893;1.525;56.01
4633054;1842;1.484;70.91
4639046;1856;1.496;66.82
4645038;1840;1.483;71.49
4651030;1898;1.530;54.55
4657173;1859;1.498;65.94
4661395;1859;1.498;65.94
4665617;1856;1.496;66.82
4669844;1870;1.507;62.73
4674071;1884;1.518;58.64
4678297;1846;1.488;69.74
4682532;1867;1.505;63.60
4686759;1872;1.509;62.14
4690986;1863;1.501;64.77
4695208;1885;1.519;58.35
4699434;1824;1.470;76.16
4703661;1873;1.509;61.85
4707883;1839;1.482;71.78
4712110;1851;1.492;68.28
4716338;1891;1.524;56.59
4720573;1853;1.493;67.69
4724796;1902;1.533;53.38
4729022;1857;1.496;66.52
4733245;1852;1.492;67.99
4737472;1843;1.485;70.61
4741695;1872;1.509;62.14
4745922;1855;1.495;67.11
4750149;1872;1.509;62.14
4754376;1839;1.482;71.78
4758609;1862;1.501;65.06
4762835;1959;1.579;36.73
4767062;1871;1.508;62.43
4771289;1904;1.534;52.79
4775520;1851;1.492;68.28
4779747;1863;1.501;64.77
4784128;1875;1.511;61.27
4787120;1917;1.545;49.00
4790112;1869;1.506;63.02
4793104;1852;1.492;67.99
4796096;1872;1.509;62.14
4799088;1868;1.505;63.31
4802076;1830;1.475;74.41
4805068;1876;1.512;60.97
4808060;1891;1.524;56.59
4811052;1842;1.484;70.91
4814043;1878;1.513;60.39
4817030;1894;1.526;55.72
4820022;1841;1.484;71.20
4823013;1858;1.497;66.23
4826001;1891;1.524;56.59
4828993;1865;1.503;64.19
4831985;1848;1.489;69.15
4834973;1879;1.514;60.10
4837965;1870;1.507;62.73
4840956;1858;1.497;66.23
4843944;1867;1.505;63.60
4846936;1868;1.505;63.31
4849923;1863;1.501;64.77
4852910;1855;1.495;67.11
4855902;1872;1.509;62.14
4858893;1863;1.501;64.77
4861880;1849;1.490;68.86
4864868;1840;1.483;71.49
4867860;1830;1.475;74.41
4870852;1899;1.530;54.26
4873993;1873;1.509;61.85
4876115;1933;1.558;44.32
4878242;1847;1.488;69.45
4880369;1869;1.506;63.02
4882504;1869;1.506;63.02
4884631;1845;1.487;70.03
4886757;1886;1.520;58.05
4888883;1895;1.527;55.42
4891006;1866;1.504;63.90
4893133;1856;1.496;66.82
4895260;1861;1.500;65.36
4897388;1875;1.511;61.27
4899522;1876;1.512;60.97
4901649;1879;1.514;60.10
4903776;1846;1.488;69.74
4905903;1879;1.514;60.10
4908030;1767;1.424;92.82
4910156;1870;1.507;62.73
4912283;1835;1.479;72.95
4914410;1910;1.539;51.04
4916540;1855;1.495;67.11
4918666;1868;1.505;63.31
4920788;1857;1.496;66.52
4922910;1853;1.493;67.69
4925033;1847;1.488;69.45
4927160;1910;1.539;51.04
4929283;1863;1.501;64.77
4931406;1917;1.545;49.00
4933540;1856;1.496;66.82
4935667;1864;1.502;64.48
4948204;1873;1.509;61.85
4949723;1866;1.504;63.90
4951245;1858;1.497;66.23
4952763;1889;1.522;57.18
4954285;1872;1.509;62.14
4955807;1856;1.496;66.82
4957329;1850;1.491;68.57
4958851;1850;1.491;68.57
4969350;1867;1.505;63.60
4970874;1862;1.501;65.06
4972396;1872;1.509;62.14
4973918;1869;1.506;63.02
4975439;1846;1.488;69.74
4976961;1858;1.497;66.23
4978479;1861;1.500;65.36
4980001;1829;1.474;74.70
4981531;1893;1.525;56.01
4983052;1881;1.516;59.51
4984582;1863;1.501;64.77
4986100;2000;1.612;24.75
4987622;1856;1.496;66.82
4989144;1884;1.518;58.64
4999642;1865;1.503;64.19
5001166;1793;1.445;85.22
5002688;1979;1.595;30.89
5004210;1853;1.493;67.69
5005727;1872;1.509;62.14
5007249;1815;1.463;78.79
5008771;1869;1.506;63.02
5010293;1877;1.513;60.68
5022142;1867;1.505;63.60
5023242;1885;1.519;58.35
5024345;1860;1.499;65.65
5025443;1871;1.508;62.43
5026548;1879;1.514;60.10
5027645;1893;1.525;56.01
5028742;1925;1.551;46.66
5039221;1847;1.488;69.45
5040321;1897;1.529;54.84
5041419;1844;1.486;70.32
5042520;1872;1.509;62.14
5043618;1911;1.540;50.75
5044716;1872;1.509;62.14
5045814;1874;1.510;61.56
5046911;1877;1.513;60.68
5048008;1885;1.519;58.35
5058504;1856;1.496;66.82
5059612;1852;1.492;67.99
5060709;1873;1.509;61.85
5061803;1814;1.462;79.09
5062900;1869;1.506;63.02
5063998;1830;1.475;74.41
5065096;1840;1.483;71.49
5066194;1807;1.456;81.13
5067288;1841;1.484;71.20
5077766;1873;1.509;61.85
5078861;1868;1.505;63.31
5079955;1866;1.504;63.90
5081052;1843;1.485;70.61
5082145;1874;1.510;61.56
5093590;1889;1.522;57.18
5094394;1927;1.553;46.08
5095196;1847;1.488;69.45
5095998;1999;1.611;25.04
5096800;1861;1.500;65.36
5097610;1869;1.506;63.02
5108062;1850;1.491;68.57
5108866;1889;1.522;57.18
5109667;1867;1.505;63.60
5110469;1886;1.520;58.05
5111271;1843;1.485;70.61
5112068;1872;1.509;62.14
5112870;1843;1.485;70.61
5123336;1844;1.486;70.32
5124135;1920;1.547;48.12
5124933;1868;1.505;63.31
5125730;1861;1.500;65.36
5126539;1877;1.513;60.68
5127345;1857;1.496;66.52
5128143;1713;1.380;108.59
5138620;1855;1.495;67.11
5139424;1854;1.494;67.40
5140221;1865;1.503;64.19
5141023;1920;1.547;48.12
5141821;1853;1.493;67.69
5142619;1843;1.485;70.61
5143417;1904;1.534;52.79
5153891;1872;1.509;62.14
5154694;1862;1.501;65.06
5155504;1841;1.484;71.20
5166672;1863;1.501;64.77
5167264;1851;1.492;68.28
5167857;1933;1.558;44.32
5168451;1870;1.507;62.73
5169045;1869;1.506;63.02
5169638;1861;1.500;65.36
5180110;1839;1.482;71.78
5180706;1865;1.503;64.19
5181299;1883;1.517;58.93
5181892;1919;1.546;48.41
5182481;1823;1.469;76.46
5183075;1819;1.466;77.63
5193571;1862;1.501;65.06
5194167;1865;1.503;64.19
5194761;1856;1.496;66.82
5195358;1847;1.488;69.45
5195952;1864;1.502;64.48
5196553;1857;1.496;66.52
5207014;1936;1.560;43.45
5207611;1895;1.527;55.42
5208200;1867;1.505;63.60
5208793;1853;1.493;67.69
5209383;1862;1.501;65.06
5209977;1869;1.506;63.02
5220473;1851;1.492;68.28
5221068;1867;1.505;63.60
5221662;1860;1.499;65.65
5222256;1872;1.509;62.14
5222849;1870;1.507;62.73
5223443;1857;1.496;66.52
5234384;1822;1.468;76.75
5234835;1887;1.521;57.76
5235284;1904;1.534;52.79
5245730;1921;1.548;47.83
5246181;1844;1.486;70.32
5246626;1895;1.527;55.42
5247070;1891;1.524;56.59
5247526;1863;1.501;64.77
5257968;1879;1.514;60.10
5258419;1814;1.462;79.09
5258867;1872;1.509;62.14
5259318;1841;1.484;71.20
5259767;1878;1.513;60.39
5260211;1870;1.507;62.73
5270733;1838;1.481;72.08
5271184;1855;1.495;67.11
5271633;1886;1.520;58.05
5272082;1863;1.501;64.77
5272535;1719;1.385;106.84
5272984;1811;1.459;79.96
5283489;1892;1.525;56.30
5283940;1856;1.496;66.82
5284389;1874;1.510;61.56
5284838;1840;1.483;71.49
5285286;1907;1.537;51.92
5285734;1860;1.499;65.65
5296254;1910;1.539;51.04
5296700;1873;1.509;61.85
5297145;1872;1.509;62.14
5297601;1872;1.509;62.14
5308427;1857;1.496;66.52
5308771;1894;1.526;55.72
5309118;1889;1.522;57.18
5309465;1904;1.534;52.79
5319948;1830;1.475;74.41
5320296;1937;1.561;43.15
5320643;1855;1.495;67.11
5320989;1861;1.500;65.36
5321337;1852;1.492;67.99
5331844;1874;1.510;61.56
5332193;1838;1.481;72.08
5332547;1839;1.482;71.78
5332894;1861;1.500;65.36
5333240;1872;1.509;62.14
5333594;1839;1.482;71.78
5344084;1872;1.509;62.14
5344433;1850;1.491;68.57
5344779;1860;1.499;65.65
5345125;1843;1.485;70.61
5345468;1857;1.496;66.52
5355971;1881;1.516;59.51
5356320;1856;1.496;66.82
5356666;1869;1.506;63.02
5357013;1877;1.513;60.68
5357360;1808;1.457;80.84
5357707;1840;1.483;71.49
5368215;1872;1.509;62.14
5368569;1881;1.516;59.51
5368916;1813;1.461;79.38
5369263;1836;1.480;72.66
5379954;1895;1.527;55.42
5380228;1882;1.517;59.22
5380512;1922;1.549;47.54
5390958;1897;1.529;54.84
5391235;1890;1.523;56.88
