timestamp_us,adc_raw,voltage_V,field_mT
411815369,1712,1.380,22.20
411865755,1728,1.393,21.28
411916141,1680,1.354,24.05
411966530,1681,1.355,23.99
412016917,1697,1.368,23.07
412067366,1729,1.393,21.23
412117751,1697,1.368,23.07
412168138,1665,1.342,24.91
412218522,1665,1.342,24.91
412268907,1697,1.368,23.07
412319363,1665,1.342,24.91
412369748,1665,1.342,24.91
412420136,1729,1.393,21.23
412470525,1713,1.380,22.15
412520916,1664,1.341,24.97
412571360,1680,1.354,24.05
412621745,1713,1.380,22.15
412672134,1681,1.355,23.99
412722522,1744,1.405,20.36
412772908,1713,1.380,22.15
412823358,1681,1.355,23.99
412873741,1665,1.342,24.91
412924126,1696,1.367,23.13
412974513,1712,1.380,22.20
413024899,1697,1.368,23.07
413075355,1681,1.355,23.99
413125744,1696,1.367,23.13
413176131,1696,1.367,23.13
413226517,1712,1.380,22.20
413276902,1696,1.367,23.13
413327353,1681,1.355,23.99
413377741,1713,1.380,22.15
413428129,1696,1.367,23.13
413483519,1776,1.431,18.52
413533905,1728,1.393,21.28
413584349,1664,1.341,24.97
413634736,1681,1.355,23.99
413685120,1649,1.329,25.83
413735504,1744,1.405,20.36
413785890,1664,1.341,24.97
413836347,1680,1.354,24.05
413886733,1696,1.367,23.13
413937116,1680,1.354,24.05
413987501,1664,1.341,24.97
414037887,1744,1.405,20.36
414088345,1664,1.341,24.97
414138730,1728,1.393,21.28
414189114,1649,1.329,25.83
414239500,1728,1.393,21.28
414289888,1697,1.368,23.07
414340342,1745,1.406,20.31
414390735,1696,1.367,23.13
414441124,1697,1.368,23.07
414491509,1681,1.355,23.99
414541897,1696,1.367,23.13
414592339,1712,1.380,22.20
414642726,1664,1.341,24.97
414693109,1696,1.367,23.13
414743494,1665,1.342,24.91
414793881,1681,1.355,23.99
414844337,1681,1.355,23.99
414894722,1697,1.368,23.07
414945108,1665,1.342,24.91
414995492,1728,1.393,21.28
415045878,1729,1.393,21.23
415096333,1681,1.355,23.99
415146720,1729,1.393,21.23
415197104,1745,1.406,20.31
415247488,1697,1.368,23.07
415297876,1696,1.367,23.13
415348330,1713,1.380,22.15
415398717,1696,1.367,23.13
415449103,1697,1.368,23.07
415499486,1665,1.342,24.91
415549873,1712,1.380,22.20
415600328,1648,1.328,25.89
415650722,1681,1.355,23.99
415701104,1648,1.328,25.89
415751490,1697,1.368,23.07
415801877,1712,1.380,22.20
415852326,1713,1.380,22.15
415902711,1665,1.342,24.91
415953096,1664,1.341,24.97
416008486,1680,1.354,24.05
416058870,1696,1.367,23.13
416109323,1713,1.380,22.15
416159711,1680,1.354,24.05
416210094,1665,1.342,24.91
416260479,1665,1.342,24.91
416310873,1680,1.354,24.05
416361320,1681,1.355,23.99
416411708,1664,1.341,24.97
416462091,1681,1.355,23.99
416512477,1600,1.289,28.65
416562862,1680,1.354,24.05
416613317,1713,1.380,22.15
416663700,1729,1.393,21.23
416714087,1680,1.354,24.05
416764473,1712,1.380,22.20
416814860,1681,1.355,23.99
416865315,1712,1.380,22.20
416915698,1680,1.354,24.05
416966082,1665,1.342,24.91
417016471,1681,1.355,23.99
417066857,1664,1.341,24.97
417117312,1681,1.355,23.99
417167697,1729,1.393,21.23
417218084,1713,1.380,22.15
417268468,1696,1.367,23.13
417318854,1681,1.355,23.99
417369309,1729,1.393,21.23
417419695,1744,1.405,20.36
417470079,1648,1.328,25.89
417520465,1728,1.393,21.28
417570860,1697,1.368,23.07
417621307,1729,1.393,21.23
417671694,1648,1.328,25.89
417722077,1680,1.354,24.05
417772462,1697,1.368,23.07
417822848,1729,1.393,21.23
417873304,1729,1.393,21.23
417923689,1729,1.393,21.23
417974077,1680,1.354,24.05
418024465,1680,1.354,24.05
418074852,1649,1.329,25.83
418125302,1697,1.368,23.07
418175684,1696,1.367,23.13
418226071,1696,1.367,23.13
418276455,1665,1.342,24.91
418326842,1665,1.342,24.91
418377299,1729,1.393,21.23
418427687,1664,1.341,24.97
418478071,1697,1.368,23.07
418533465,1680,1.354,24.05
418583850,1665,1.342,24.91
418634296,1665,1.342,24.91
418684682,1744,1.405,20.36
418735069,1697,1.368,23.07
418785457,1792,1.444,17.60
418835843,1681,1.355,23.99
418886294,1664,1.341,24.97
418936682,1728,1.393,21.28
418987069,1680,1.354,24.05
419037453,1664,1.341,24.97
419087839,1729,1.393,21.23
419138291,1680,1.354,24.05
419188679,1681,1.355,23.99
419239062,1681,1.355,23.99
419289446,1680,1.354,24.05
419339834,1729,1.393,21.23
419390288,1713,1.380,22.15
419440677,1649,1.329,25.83
419491068,1713,1.380,22.15
419541456,1697,1.368,23.07
419591842,1713,1.380,22.15
419642286,1680,1.354,24.05
