timestamp_us,adc_raw,voltage_V,field_mT
533423224,1696,1.367,23.13
533473609,1697,1.368,23.07
533523996,1712,1.380,22.20
533574382,1713,1.380,22.15
533624815,1696,1.367,23.13
533675200,1696,1.367,23.13
533725586,1712,1.380,22.20
533775970,1712,1.380,22.20
533826354,1712,1.380,22.20
533876812,1713,1.380,22.15
533927196,1697,1.368,23.07
533977583,1697,1.368,23.07
534027966,1696,1.367,23.13
534078354,1681,1.355,23.99
534128809,1729,1.393,21.23
534179197,1697,1.368,23.07
534229581,1665,1.342,24.91
534279969,1713,1.380,22.15
534330353,1728,1.393,21.28
534380806,1712,1.380,22.20
534431190,1681,1.355,23.99
534486583,1680,1.354,24.05
534536967,1680,1.354,24.05
534587354,1712,1.380,22.20
534637803,1729,1.393,21.23
534688186,1665,1.342,24.91
534738574,1681,1.355,23.99
534788958,1664,1.341,24.97
534839346,1697,1.368,23.07
534889800,1713,1.380,22.15
534940185,1664,1.341,24.97
534990571,1712,1.380,22.20
535040962,1712,1.380,22.20
535091349,1664,1.341,24.97
535141798,1713,1.380,22.15
535192184,1680,1.354,24.05
535242568,1681,1.355,23.99
535292953,1712,1.380,22.20
535343342,1680,1.354,24.05
535393795,1696,1.367,23.13
535444178,1712,1.380,22.20
535494565,1697,1.368,23.07
535544949,1680,1.354,24.05
535595337,1681,1.355,23.99
535645793,1681,1.355,23.99
535696181,1697,1.368,23.07
535746566,1728,1.393,21.28
535796953,1680,1.354,24.05
535847339,1697,1.368,23.07
535897790,1664,1.341,24.97
535948176,1712,1.380,22.20
535998562,1664,1.341,24.97
536048946,1697,1.368,23.07
536099330,1680,1.354,24.05
536149787,1713,1.380,22.15
536200173,1696,1.367,23.13
536250559,1696,1.367,23.13
536300954,1680,1.354,24.05
536351341,1681,1.355,23.99
536401784,1649,1.329,25.83
536452166,1648,1.328,25.89
536502550,1697,1.368,23.07
536552940,1649,1.329,25.83
536603328,1648,1.328,25.89
536653782,1665,1.342,24.91
536704166,1665,1.342,24.91
536754552,1665,1.342,24.91
536804937,1697,1.368,23.07
536855323,1728,1.393,21.28
536905779,1665,1.342,24.91
536956166,1665,1.342,24.91
537011556,1680,1.354,24.05
537061939,1729,1.393,21.23
537112327,1680,1.354,24.05
537162776,1664,1.341,24.97
537213159,1665,1.342,24.91
537263546,1665,1.342,24.91
537313931,1712,1.380,22.20
537364318,1665,1.342,24.91
537414774,1696,1.367,23.13
537465160,1680,1.354,24.05
537515545,1664,1.341,24.97
537565930,1696,1.367,23.13
537616314,1697,1.368,23.07
537666771,1681,1.355,23.99
537717156,1681,1.355,23.99
537767543,1681,1.355,23.99
537817931,1681,1.355,23.99
537868318,1696,1.367,23.13
537918768,1696,1.367,23.13
537969157,1729,1.393,21.23
538019545,1681,1.355,23.99
538069928,1680,1.354,24.05
538120310,1681,1.355,23.99
538170772,1744,1.405,20.36
538221160,1696,1.367,23.13
538271548,1664,1.341,24.97
538321932,1696,1.367,23.13
538372319,1697,1.368,23.07
538422763,1649,1.329,25.83
538473148,1712,1.380,22.20
538523533,1681,1.355,23.99
538573919,1712,1.380,22.20
538624302,1696,1.367,23.13
538674760,1713,1.380,22.15
538725145,1680,1.354,24.05
538775532,1713,1.380,22.15
538825920,1712,1.380,22.20
538876308,1712,1.380,22.20
538926758,1713,1.380,22.15
538977146,1713,1.380,22.15
539027529,1681,1.355,23.99
539077911,1681,1.355,23.99
539128296,1681,1.355,23.99
539178755,1681,1.355,23.99
539229139,1696,1.367,23.13
539279527,1680,1.354,24.05
539329917,1664,1.341,24.97
539380302,1664,1.341,24.97
539430760,1681,1.355,23.99
539481144,1696,1.367,23.13
539536537,1696,1.367,23.13
539586923,1681,1.355,23.99
539637309,1696,1.367,23.13
539687749,1665,1.342,24.91
539738135,1696,1.367,23.13
539788521,1697,1.368,23.07
539838905,1713,1.380,22.15
539889289,1697,1.368,23.07
539939747,1697,1.368,23.07
539990131,1696,1.367,23.13
540040518,1696,1.367,23.13
540090912,1681,1.355,23.99
540141300,1712,1.380,22.20
540191744,1712,1.380,22.20
540242132,1664,1.341,24.97
540292517,1713,1.380,22.15
540342904,1680,1.354,24.05
540393291,1696,1.367,23.13
540443741,1713,1.380,22.15
540494127,1680,1.354,24.05
540544511,1680,1.354,24.05
540594897,1681,1.355,23.99
540645286,1713,1.380,22.15
540695739,1697,1.368,23.07
540746128,1712,1.380,22.20
540796515,1680,1.354,24.05
540846899,1680,1.354,24.05
540897286,1696,1.367,23.13
540947736,1681,1.355,23.99
540998125,1665,1.342,24.91
541048512,1712,1.380,22.20
541098897,1696,1.367,23.13
541149283,1681,1.355,23.99
541199733,1696,1.367,23.13
541250119,1696,1.367,23.13
541300507,1712,1.380,22.20
541350900,1697,1.368,23.07
541401289,1664,1.341,24.97
541451730,1664,1.341,24.97
541502112,1713,1.380,22.15
541552500,1712,1.380,22.20
541602884,1664,1.341,24.97
541653267,1712,1.380,22.20
541703728,1680,1.354,24.05
541754112,1697,1.368,23.07
541804499,1697,1.368,23.07
541854883,1680,1.354,24.05
541905269,1712,1.380,22.20
541955725,1697,1.368,23.07
542006110,1696,1.367,23.13
542061516,1680,1.354,24.05
542111903,1697,1.368,23.07
542162289,1697,1.368,23.07
542212722,1696,1.367,23.13
542263108,1697,1.368,23.07
542313493,1648,1.328,25.89
542363878,1697,1.368,23.07
542414262,1681,1.355,23.99
542464719,1681,1.355,23.99
542515104,1681,1.355,23.99
542565490,1713,1.380,22.15
542615874,1697,1.368,23.07
542666261,1680,1.354,24.05
542716717,1696,1.367,23.13
542767105,1680,1.354,24.05
542817492,1680,1.354,24.05
542867877,1696,1.367,23.13
542918264,1664,1.341,24.97
542968714,1664,1.341,24.97
543019100,1649,1.329,25.83
543069484,1713,1.380,22.15
543119869,1697,1.368,23.07
543170253,1681,1.355,23.99
543220719,1664,1.341,24.97
543271106,1697,1.368,23.07
543321494,1664,1.341,24.97
543371877,1649,1.329,25.83
543422265,1649,1.329,25.83
543472708,1665,1.342,24.91
543523097,1600,1.289,28.65
543573484,1649,1.329,25.83
543623869,1664,1.341,24.97
543674256,1665,1.342,24.91
543724706,1664,1.341,24.97
543775092,1665,1.342,24.91
543825475,1664,1.341,24.97
543875861,1648,1.328,25.89
543926244,1616,1.302,27.73
543976703,1632,1.315,26.81
544027091,1649,1.329,25.83
544077478,1633,1.316,26.75
544127864,1584,1.276,29.57
544178250,1632,1.315,26.81
544228700,1632,1.315,26.81
544279083,1617,1.303,27.67
544329470,1601,1.290,28.59
544379856,1617,1.303,27.67
544430241,1632,1.315,26.81
544480705,1616,1.302,27.73
544531090,1616,1.302,27.73
544586481,1616,1.302,27.73
