timestamp_us;adc_raw;voltage_V;field_mT
4667469;1665;1.476;73,97
4671615;1665;1.476;73,97
4675762;1648;1.461;79,44
4679908;1648;1.461;79,44
4684053;1665;1.476;73,97
4688199;1665;1.476;73,97
4692344;1680;1.489;69,15
4696489;1664;1.475;74,3
4700635;1633;1.448;84,26
4704781;1728;1.532;53,73
4708928;1665;1.476;73,97
4713075;1664;1.475;74,3
4717221;1681;1.490;68,83
4721367;1665;1.476;73,97
4725513;1633;1.448;84,26
4729659;1697;1.504;63,69
4733804;1665;1.476;73,97
4737950;1680;1.489;69,15
4742097;1680;1.489;69,15
4746244;1665;1.476;73,97
4750389;1664;1.475;74,3
4754535;1617;1.433;89,4
4758681;1649;1.462;79,12
4762827;1665;1.476;73,97
4766973;1665;1.476;73,97
4771118;1680;1.489;69,15
4775264;1681;1.490;68,83
4779734;1633;1.448;84,26
4782644;1681;1.490;68,83
4785555;1633;1.448;84,26
4788466;1681;1.490;68,83
4791376;1712;1.518;58,87
4794287;1680;1.489;69,15
4797198;1649;1.462;79,12
4800109;1649;1.462;79,12
4803019;1617;1.433;89,4
4805929;1680;1.489;69,15
4808839;1664;1.475;74,3
4811750;1649;1.462;79,12
4814661;1697;1.504;63,69
4817571;1649;1.462;79,12
4820482;1696;1.503;64,01
4823392;1648;1.461;79,44
4826304;1680;1.489;69,15
4829216;1632;1.447;84,58
4832127;1665;1.476;73,97
4835038;1681;1.490;68,83
4837949;1665;1.476;73,97
4840859;1648;1.461;79,44
4843771;1680;1.489;69,15
4846682;1649;1.462;79,12
4849593;1680;1.489;69,15
4852504;1648;1.461;79,44
4855414;1649;1.462;79,12
4858325;1664;1.475;74,3
4861235;1664;1.475;74,3
4864145;1648;1.461;79,44
4867373;1681;1.490;68,83
4869419;1648;1.461;79,44
4871465;1665;1.476;73,97
4873511;1649;1.462;79,12
4875556;1648;1.461;79,44
4877601;1649;1.462;79,12
4879647;1665;1.476;73,97
4881693;1649;1.462;79,12
4883739;1633;1.448;84,26
4885785;1649;1.462;79,12
4887830;1664;1.475;74,3
4889876;1665;1.476;73,97
4891922;1665;1.476;73,97
4893968;1696;1.503;64,01
4896014;1696;1.503;64,01
4898060;1649;1.462;79,12
4900106;1665;1.476;73,97
4902153;1665;1.476;73,97
4904200;1649;1.462;79,12
4906246;1649;1.462;79,12
4908292;1665;1.476;73,97
4910467;1664;1.475;74,3
4912716;1632;1.447;84,58
4914973;1601;1.419;94,54
4917229;1680;1.489;69,15
4919486;1696;1.503;64,01
4921743;1633;1.448;84,26
4923999;1664;1.475;74,3
4926256;1681;1.490;68,83
4928513;1664;1.475;74,3
4937936;1729;1.533;53,41
4940057;1664;1.475;74,3
4942314;1681;1.490;68,83
4944570;1681;1.490;68,83
4946827;1633;1.448;84,26
4949084;1680;1.489;69,15
4951341;1649;1.462;79,12
4953597;1665;1.476;73,97
4955854;1648;1.461;79,44
4958111;1632;1.447;84,58
4960367;1713;1.518;58,55
4962624;1633;1.448;84,26
4964881;1649;1.462;79,12
4967138;1649;1.462;79,12
4969394;1696;1.503;64,01
4971651;1664;1.475;74,3
4973908;1665;1.476;73,97
4976165;1648;1.461;79,44
4978421;1665;1.476;73,97
4980678;1680;1.489;69,15
4982934;1648;1.461;79,44
4985191;1665;1.476;73,97
4987448;1617;1.433;89,4
4989705;1664;1.475;74,3
4991961;1681;1.490;68,83
4994218;1665;1.476;73,97
4996475;1649;1.462;79,12
4998732;1697;1.504;63,69
5000988;1633;1.448;84,26
5003245;1664;1.475;74,3
5012672;1680;1.489;69,15
5014789;1680;1.489;69,15
5017046;1664;1.475;74,3
5019302;1665;1.476;73,97
5021559;1664;1.475;74,3
5023816;1680;1.489;69,15
5026073;1633;1.448;84,26
5028329;1697;1.504;63,69
5030586;1681;1.490;68,83
5032843;1664;1.475;74,3
5035099;1665;1.476;73,97
5037356;1664;1.475;74,3
5039613;1649;1.462;79,12
5041870;1633;1.448;84,26
5148113;1681;1.490;68,83
5150366;1649;1.462;79,12
5152623;1665;1.476;73,97
5154879;1665;1.476;73,97
5157136;1665;1.476;73,97
5159392;1665;1.476;73,97
5161649;1681;1.490;68,83
5163906;1665;1.476;73,97
5166163;1664;1.475;74,3
5168420;1680;1.489;69,15
5170676;1665;1.476;73,97
5172933;1665;1.476;73,97
5175190;1744;1.546;48,59
5177446;1664;1.475;74,3
5179703;1664;1.475;74,3
5181960;1665;1.476;73,97
5191473;1648;1.461;79,44
5193591;1664;1.475;74,3
5195847;1648;1.461;79,44
5198104;1665;1.476;73,97
5200361;1648;1.461;79,44
5202617;1680;1.489;69,15
5204874;1664;1.475;74,3
5207131;1665;1.476;73,97
5209388;1697;1.504;63,69
5211644;1648;1.461;79,44
5213901;1649;1.462;79,12
5216158;1665;1.476;73,97
5218414;1649;1.462;79,12
5220671;1665;1.476;73,97
5222928;1664;1.475;74,3
5225185;1649;1.462;79,12
5227441;1665;1.476;73,97
5229698;1665;1.476;73,97
5231955;1633;1.448;84,26
5234211;1696;1.503;64,01
5236468;1648;1.461;79,44
5238725;1664;1.475;74,3
5240982;1648;1.461;79,44
5243239;1664;1.475;74,3
5245495;1664;1.475;74,3
5247752;1648;1.461;79,44
5250009;1649;1.462;79,12
5252265;1648;1.461;79,44
5254522;1649;1.462;79,12
5256779;1648;1.461;79,44
5266202;1649;1.462;79,12
5268323;1681;1.490;68,83
5270579;1681;1.490;68,83
5272836;1681;1.490;68,83
5275093;1665;1.476;73,97
5277350;1681;1.490;68,83
5279606;1649;1.462;79,12
5281863;1649;1.462;79,12
5284120;1664;1.475;74,3
5286376;1664;1.475;74,3
5288633;1696;1.503;64,01
5290890;1664;1.475;74,3
5293147;1712;1.518;58,87
5295403;1649;1.462;79,12
5297660;1681;1.490;68,83
5299917;1680;1.489;69,15
5302173;1664;1.475;74,3
5304430;1632;1.447;84,58
5306687;1680;1.489;69,15
5308944;1649;1.462;79,12
5311200;1649;1.462;79,12
5313457;1681;1.490;68,83
5315714;1665;1.476;73,97
5317970;1681;1.490;68,83
5320227;1664;1.475;74,3
5322484;1680;1.489;69,15
5324741;1648;1.461;79,44
5326997;1632;1.447;84,58
5329254;1680;1.489;69,15
5331511;1664;1.475;74,3
5341064;1665;1.476;73,97
5343055;1649;1.462;79,12
5345312;1649;1.462;79,12
5347568;1697;1.504;63,69
5349825;1665;1.476;73,97
5352082;1681;1.490;68,83
5354338;1664;1.475;74,3
5356595;1633;1.448;84,26
5358852;1665;1.476;73,97
5361108;1680;1.489;69,15
5363365;1664;1.475;74,3
5365622;1680;1.489;69,15
5367879;1664;1.475;74,3
5370136;1665;1.476;73,97
5372392;1649;1.462;79,12
5374649;1665;1.476;73,97
5376906;1665;1.476;73,97
5379162;1681;1.490;68,83
5381419;1665;1.476;73,97
5383676;1680;1.489;69,15
5385933;1697;1.504;63,69
5388189;1665;1.476;73,97
5390453;1665;1.476;73,97
5392703;1665;1.476;73,97
5394959;1648;1.461;79,44
5397216;1633;1.448;84,26
5399473;1680;1.489;69,15
5401730;1648;1.461;79,44
5403986;1648;1.461;79,44
5406243;1664;1.475;74,3
5415666;1664;1.475;74,3
5417787;1696;1.503;64,01
5420044;1632;1.447;84,58
5422300;1648;1.461;79,44
5424557;1664;1.475;74,3
5426814;1665;1.476;73,97
5429071;1664;1.475;74,3
5431327;1680;1.489;69,15
5433584;1649;1.462;79,12
5435841;1665;1.476;73,97
5438097;1649;1.462;79,12
5440354;1664;1.475;74,3
5442611;1664;1.475;74,3
5444868;1681;1.490;68,83
5447124;1665;1.476;73,97
5449381;1648;1.461;79,44
5451638;1649;1.462;79,12
5453894;1649;1.462;79,12
5456151;1664;1.475;74,3
5458408;1665;1.476;73,97
5460665;1664;1.475;74,3
5462921;1680;1.489;69,15
5465178;1681;1.490;68,83
5467435;1665;1.476;73,97
5469691;1648;1.461;79,44
5471948;1665;1.476;73,97
5474205;1680;1.489;69,15
5476462;1649;1.462;79,12
5478718;1664;1.475;74,3
5480975;1665;1.476;73,97
5490398;1665;1.476;73,97
5492519;1681;1.490;68,83
5494776;1664;1.475;74,3
5497033;1680;1.489;69,15
5499289;1649;1.462;79,12
5501546;1648;1.461;79,44
5503803;1648;1.461;79,44
5506060;1649;1.462;79,12
5508316;1680;1.489;69,15
5510573;1665;1.476;73,97
5512830;1649;1.462;79,12
5515086;1665;1.476;73,97
5517343;1648;1.461;79,44
5519600;1664;1.475;74,3
5521857;1664;1.475;74,3
5524113;1665;1.476;73,97
5526370;1680;1.489;69,15
5528627;1664;1.475;74,3
5530883;1649;1.462;79,12
5533140;1617;1.433;89,4
5535397;1632;1.447;84,58
5537653;1680;1.489;69,15
5539910;1680;1.489;69,15
5542167;1697;1.504;63,69
5544424;1696;1.503;64,01
5546680;1697;1.504;63,69
5548937;1665;1.476;73,97
5551194;1712;1.518;58,87
5553451;1648;1.461;79,44
5555707;1648;1.461;79,44
5565134;1665;1.476;73,97
5567251;1680;1.489;69,15
5569508;1681;1.490;68,83
5571765;1649;1.462;79,12
5574021;1697;1.504;63,69
5576278;1648;1.461;79,44
5578535;1665;1.476;73,97
5580792;1696;1.503;64,01
5583048;1649;1.462;79,12
5585305;1665;1.476;73,97
5587562;1680;1.489;69,15
5589818;1697;1.504;63,69
5592075;1648;1.461;79,44
5594332;1681;1.490;68,83
5596588;1585;1.405;99,68
5598845;1697;1.504;63,69
5601102;1633;1.448;84,26
5603359;1664;1.475;74,3
5605615;1665;1.476;73,97
5607872;1680;1.489;69,15
5610129;1696;1.503;64,01
5612385;1649;1.462;79,12
5614642;1664;1.475;74,3
5616899;1680;1.489;69,15
5619156;1665;1.476;73,97
5621412;1665;1.476;73,97
5623669;1665;1.476;73,97
5625926;1680;1.489;69,15
5628183;1665;1.476;73,97
5630447;1664;1.475;74,3
5639862;1664;1.475;74,3
5641983;1680;1.489;69,15
5644240;1665;1.476;73,97
5646497;1665;1.476;73,97
5648753;1681;1.490;68,83
5651010;1665;1.476;73,97
5653267;1680;1.489;69,15
5655524;1680;1.489;69,15
5657780;1681;1.490;68,83
5660037;1664;1.475;74,3
5662294;1649;1.462;79,12
5664551;1680;1.489;69,15
5666807;1648;1.461;79,44
5669064;1664;1.475;74,3
5671321;1649;1.462;79,12
5673578;1649;1.462;79,12
5675834;1681;1.490;68,83
5678091;1681;1.490;68,83
5680348;1632;1.447;84,58
5682604;1649;1.462;79,12
5684861;1680;1.489;69,15
5687118;1664;1.475;74,3
5689374;1664;1.475;74,3
5691631;1632;1.447;84,58
5693888;1665;1.476;73,97
5696144;1649;1.462;79,12
5698401;1681;1.490;68,83
5700658;1664;1.475;74,3
5702915;1664;1.475;74,3
5705171;1680;1.489;69,15
5714593;1665;1.476;73,97
5716715;1664;1.475;74,3
5718972;1680;1.489;69,15
5721229;1665;1.476;73,97
5723486;1664;1.475;74,3
5725742;1665;1.476;73,97
5727999;1665;1.476;73,97
5730256;1648;1.461;79,44
5732512;1696;1.503;64,01
5734769;1664;1.475;74,3
5737026;1664;1.475;74,3
5739283;1681;1.490;68,83
